"number";"contractName";"name";"address";"position_latitude";"position_longitude";"banking";"bonus";"status";"lastUpdate";"connected";"bikes";"stands";"mechanicalBikes";"electricalBikes";"electricalInternalBatteryBikes";"electricalRemovableBatteryBikes";"capacity";"CodePostal"
"7019";"lyon";"7019 - CROIX BARRET / BOURDEIX";"";45,736722;4,841079;FALSE;FALSE;"OPEN";"2024-03-17T13:34:28Z";TRUE;32;0;16;16;0;16;32;69007
"1";"lyon";"00001 - BORNE SOLAIRE";"Borne solaire n°1";45,7684049534445;4,98134678522698;FALSE;FALSE;"OPEN";"2024-03-17T13:30:21Z";TRUE;0;99;0;0;0;0;103;69150
"1005";"lyon";"1005 - MEISSONNIER";"Place Meissonier - Angle Sud-Est de la place";45,766073;4,832849;FALSE;FALSE;"OPEN";"2024-03-17T13:33:21Z";TRUE;6;10;2;4;0;4;16;69001
"6040";"lyon";"6040 - LES HALLES";"71 COURS LAFAYETTE";45,764013;4,849933;TRUE;FALSE;"OPEN";"2024-03-17T13:32:48Z";TRUE;0;15;0;0;0;0;15;69006
"10044";"lyon";"10044 - ROCARD OCTAVIE";"";45,7809037283842;4,88958755288143;FALSE;FALSE;"OPEN";"2024-03-17T13:32:24Z";TRUE;19;4;9;10;0;10;25;69100
"2022";"lyon";"2022 - PLACE CARNOT";"Angle rue Plessier";45,751233;4,82688;TRUE;FALSE;"OPEN";"2024-03-17T13:33:50Z";TRUE;20;10;12;8;0;8;30;69002
"4014";"lyon";"4014 - PHILIPPE DE LASSALLE / PILLEMENT";"Angle rue Pillement";45,777431;4,820526;FALSE;TRUE;"OPEN";"2024-03-17T13:29:22Z";TRUE;0;13;0;0;0;0;13;69004
"7036";"lyon";"7036 - GRYPHE / MONTESQUIEU";"";45,751902;4,843812;TRUE;FALSE;"OPEN";"2024-03-17T13:30:13Z";TRUE;9;16;2;7;0;7;25;69007
"9029";"lyon";"9029 - SAINT PIERRE DE VAISE";"Place Vanderpol/Angle St Pierre de Vaise";45,773125;4,807831;FALSE;FALSE;"OPEN";"2024-03-17T13:32:18Z";TRUE;13;2;12;1;0;1;15;69009
"3099";"lyon";"3099 - PLACE SAINTE ANNE";"10 PLACE SAINTE ANNE";45,757042;4,86532;TRUE;FALSE;"OPEN";"2024-03-17T13:28:51Z";TRUE;6;11;2;5;0;5;18;69003
"8001";"lyon";"8001 - UNIVERSITÉ LYON III";"Devant entrée principale de l'université";45,748535;4,861533;TRUE;FALSE;"OPEN";"2024-03-17T13:34:56Z";TRUE;14;22;11;3;0;3;36;69008
"3005";"lyon";"3005 - SAXE / GAMBETTA";"Place Victor Basch";45,75377;4,848043;TRUE;FALSE;"OPEN";"2024-03-17T13:32:52Z";TRUE;23;3;12;11;0;11;26;69003
